,Member_number,Date,itemDescription,Sales,Year
0,4941,2015-02-14,rolls/buns,7.199999999999999,2015
1,4941,2015-01-15,rolls/buns,7.199999999999999,2015
2,4941,2015-01-15,canned beer,8.55,2015
3,4941,2015-01-15,bottled beer,70.0,2015
4,4941,2015-01-15,ham,19.040000000000003,2015
5,4941,2014-09-09,coffee,2.7,2014
6,4941,2014-12-06,whole milk,21.6,2014
7,4941,2014-04-13,liquor,23.8,2014
8,4941,2014-08-02,yogurt,16.099999999999998,2014
9,4941,2014-02-24,white wine,14.0,2014
10,4941,2014-08-13,meat,40.0,2014
11,4941,2015-02-14,citrus fruit,9.6,2015
12,4941,2015-01-15,hamburger meat,34.300000000000004,2015
13,4941,2015-01-15,pickled vegetables,3.78,2015
14,4941,2015-01-15,salty snack,3.0,2015
15,4941,2015-01-15,domestic eggs,6.63,2015
16,4941,2014-09-09,soda,12.6,2014
17,4941,2014-12-06,canned beer,8.55,2014
18,4941,2014-04-13,newspapers,3.0,2014
19,4941,2014-08-02,pasta,9.8,2014
20,4941,2014-02-24,soda,29.4,2014
21,4941,2014-08-13,butter milk,17.08,2014
22,4941,2014-10-25,white bread,7.5,2014
23,4941,2015-01-15,soda,8.4,2015
24,4941,2015-02-14,fruit/vegetable juice,4.42,2015
25,4941,2014-10-25,chocolate marshmallow,3.63,2014
26,2193,2015-04-14,beef,23.12,2015
27,2193,2015-08-04,root vegetables,14.95,2015
28,2193,2015-03-09,hamburger meat,34.300000000000004,2015
29,2193,2015-07-01,pastry,20.34,2015
30,2193,2015-09-30,citrus fruit,8.0,2015
31,2193,2015-04-14,bottled beer,30.0,2015
32,2193,2014-08-10,onions,12.55,2014
33,2193,2014-11-26,root vegetables,2.99,2014
34,2193,2014-05-01,whole milk,8.64,2014
35,2193,2014-12-04,beef,34.68,2014
36,2193,2014-10-23,specialty bar,74.0,2014
37,2193,2014-11-09,pip fruit,2.56,2014
38,2193,2015-04-14,specialty chocolate,7.2,2015
39,2193,2015-08-04,cream cheese ,7.0,2015
40,2193,2015-03-09,soda,12.6,2015
41,2193,2015-07-01,liquor (appetizer),84.0,2015
42,2193,2015-09-30,whole milk,17.28,2015
43,2193,2015-04-14,yogurt,9.2,2015
44,2193,2014-08-10,waffles,8.4,2014
45,2193,2014-11-26,chocolate,5.09,2014
46,2193,2014-05-01,bottled beer,70.0,2014
47,2193,2014-12-04,dessert,1.46,2014
48,2193,2014-10-23,pastry,13.56,2014
49,2193,2014-11-09,cling film/bags,86.24000000000001,2014
50,2193,2014-11-26,candy,8.8,2014
51,2193,2015-07-01,sliced cheese,17.8,2015
52,2193,2015-04-14,whole milk,12.96,2015
53,1997,2015-07-21,frankfurter,26.1,2015
54,1997,2015-06-06,frankfurter,15.66,2015
55,1997,2015-10-26,citrus fruit,11.2,2015
56,1997,2015-12-28,cleaner,60.0,2015
57,1997,2015-08-20,ham,19.040000000000003,2015
58,1997,2015-07-21,soda,4.2,2015
59,1997,2015-06-06,berries,48.370000000000005,2015
60,1997,2015-07-21,canned beer,19.95,2015
61,1997,2015-06-06,bottled water,3.78,2015
62,1997,2015-10-26,pip fruit,5.12,2015
63,1997,2015-12-28,pip fruit,2.56,2015
64,1997,2015-08-20,newspapers,2.0,2015
65,1997,2015-07-21,white bread,10.5,2015
66,1997,2015-06-06,processed cheese,32.2,2015
67,1997,2015-12-28,pastry,10.17,2015
68,1997,2015-08-20,bottled beer,10.0,2015
69,1997,2014-10-30,shopping bags,71.4,2014
70,1997,2015-10-26,beverages,6.18,2015
71,1997,2015-06-06,pickled vegetables,2.52,2015
72,1997,2015-07-21,brown bread,6.4,2015
73,1997,2014-10-30,soda,21.0,2014
74,2421,2015-02-09,chocolate,10.18,2015
75,2421,2015-11-22,sausage,22.35,2015
76,2421,2015-11-21,abrasive cleaner,70.0,2015
77,2421,2015-10-27,candy,2.2,2015
78,2421,2015-02-09,frankfurter,36.54,2015
79,2421,2015-10-27,sausage,8.94,2015
80,2421,2014-05-08,bottled beer,50.0,2014
81,2421,2014-02-13,pastry,10.17,2014
82,2421,2015-11-21,citrus fruit,3.2,2015
83,2421,2015-02-09,yogurt,2.3,2015
84,2421,2015-11-22,whole milk,8.64,2015
85,2421,2015-11-21,whole milk,8.64,2015
86,2421,2015-10-27,other vegetables,13.8,2015
87,2421,2015-02-09,margarine,9.04,2015
88,2421,2015-10-27,frozen vegetables,15.89,2015
89,2421,2014-05-08,shopping bags,71.4,2014
90,2421,2014-02-13,rolls/buns,1.2,2014
91,2421,2015-11-21,long life bakery product,23.1,2015
92,2421,2014-06-05,other vegetables,32.2,2014
93,2421,2015-02-09,canned vegetables,7.3,2015
94,2421,2014-06-05,UHT-milk,32.0,2014
95,1905,2015-07-07,other vegetables,27.6,2015
96,1905,2015-02-21,fruit/vegetable juice,8.84,2015
97,1905,2015-05-19,sugar,3.2,2015
98,1905,2015-10-18,soda,29.4,2015
99,1905,2015-07-31,ham,8.16,2015
100,1905,2015-07-07,tropical fruit,1.59,2015
101,1905,2015-02-21,sausage,4.47,2015
102,1905,2014-04-22,photo/film,57.3,2014
103,1905,2014-02-06,cat food,44.0,2014
104,1905,2014-01-31,seasonal products,12.0,2014
