,missions_been_on,failed_missions_been_on,missions_voted_up1,missions_voted_up2,missions_voted_up3,missions_voted_up4,missions_voted_up5,missions_voted_up6,missions_voted_down1,missions_voted_down2,missions_voted_down3,missions_voted_down4,missions_voted_down5,missions_voted_down6,Spy
0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
1,2,1,3,1,3,0,0,1,0,0,0,0,0,0,0
2,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0
3,2,1,1,1,0,1,0,0,1,1,0,0,0,0,0
4,3,1,3,1,0,0,1,0,0,0,0,0,0,0,0
5,2,1,0,0,0,0,1,0,2,1,1,0,0,0,0
6,2,2,0,1,0,0,0,0,4,0,0,1,0,0,1
7,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0
8,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1
9,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
10,1,1,0,0,0,1,0,0,1,1,2,0,0,0,0
11,0,0,4,2,3,1,1,0,0,0,0,0,0,0,0
12,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0
13,0,0,2,0,0,0,1,0,1,0,1,0,0,0,1
14,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1
15,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1
16,2,2,1,4,0,1,0,0,0,0,0,0,0,0,1
17,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0
19,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
20,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
21,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
22,2,2,1,0,2,0,0,0,0,0,0,0,0,0,1
23,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
24,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0
25,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0
26,2,2,3,1,0,0,1,0,0,0,0,0,0,0,1
