,Member_number,Date,itemDescription,Sales,Year
0,1808,2015-07-21,tropical fruit,7.95,2015
1,2552,2015-05-01,whole milk,25.92,2015
2,2300,2015-09-19,pip fruit,8.96,2015
3,1187,2015-12-12,other vegetables,32.199999999999996,2015
4,3037,2015-01-02,whole milk,12.96,2015
5,4941,2015-02-14,rolls/buns,7.199999999999999,2015
6,4501,2015-08-05,other vegetables,27.599999999999998,2015
7,3803,2015-12-23,pot plants,42.0,2015
8,2762,2015-03-20,whole milk,12.96,2015
9,4119,2015-12-02,tropical fruit,1.59,2015
10,1340,2015-02-24,citrus fruit,6.4,2015
11,2193,2015-04-14,beef,23.12,2015
12,1997,2015-07-21,frankfurter,26.099999999999998,2015
13,4546,2015-03-09,chicken,8.64,2015
14,4736,2015-07-21,butter,15.9,2015
15,1959,2015-03-30,fruit/vegetable juice,4.42,2015
16,1974,2015-03-05,packaged fruit/vegetables,9.76,2015
17,2421,2015-02-09,chocolate,10.18,2015
18,1513,2015-03-08,specialty bar,37.0,2015
19,1905,2015-07-07,other vegetables,27.599999999999998,2015
20,2810,2015-08-09,butter milk,4.88,2015
21,2867,2015-12-11,whole milk,21.6,2015
22,3962,2015-09-18,tropical fruit,11.13,2015
23,1088,2015-11-30,tropical fruit,7.95,2015
24,4976,2015-07-17,bottled water,5.04,2015
25,4056,2015-12-06,yogurt,4.6,2015
26,3611,2015-02-13,sausage,8.94,2015
27,1420,2015-01-14,other vegetables,9.2,2015
28,4286,2015-08-03,brown bread,19.200000000000003,2015
29,4918,2015-01-27,yogurt,6.8999999999999995,2015
30,4783,2015-10-22,hamburger meat,4.9,2015
31,3709,2015-10-26,root vegetables,2.99,2015
32,4289,2015-08-10,pork,11.16,2015
33,1559,2015-03-10,beef,5.78,2015
34,2900,2015-11-04,pastry,3.39,2015
35,1905,2015-02-21,fruit/vegetable juice,8.84,2015
36,3527,2015-09-29,canned beer,8.55,2015
37,1495,2015-09-01,root vegetables,11.96,2015
38,3558,2015-03-04,citrus fruit,3.2,2015
39,3128,2015-04-20,sausage,31.29,2015
40,1863,2015-04-08,tropical fruit,1.59,2015
41,3841,2015-07-19,berries,34.55,2015
42,3903,2015-06-10,canned beer,14.25,2015
43,2658,2015-10-16,butter milk,14.64,2015
44,4272,2015-06-06,coffee,5.4,2015
45,1120,2015-09-26,pastry,3.39,2015
46,2676,2015-08-15,rolls/buns,6.0,2015
47,1697,2015-05-21,misc. beverages,27.5,2015
48,2507,2015-08-25,root vegetables,5.98,2015
49,4620,2015-11-03,sausage,8.94,2015
50,3365,2015-01-02,canned beer,5.7,2015
51,2978,2015-05-06,ham,5.44,2015
52,2910,2015-07-28,turkey,40.0,2015
53,1061,2015-05-09,whole milk,21.6,2015
54,3276,2015-03-04,whole milk,12.96,2015
55,1326,2015-06-19,packaged fruit/vegetables,9.76,2015
56,3023,2015-07-28,rolls/buns,4.8,2015
57,2185,2015-11-10,ham,13.600000000000001,2015
58,3552,2015-06-16,rolls/buns,4.8,2015
59,1967,2015-01-20,other vegetables,9.2,2015
60,4708,2015-03-20,sausage,26.82,2015
61,2874,2015-02-15,sausage,31.29,2015
62,4177,2015-04-13,frankfurter,15.66,2015
63,1663,2015-07-02,rolls/buns,1.2,2015
64,2632,2015-02-03,whole milk,17.28,2015
65,1377,2015-03-14,curd cheese,36.54,2015
66,4162,2015-12-22,red/blush wine,15.6,2015
67,2270,2015-01-07,sausage,26.82,2015
68,4829,2015-03-11,tropical fruit,11.13,2015
69,3811,2015-04-14,red/blush wine,15.6,2015
70,4766,2015-09-29,whole milk,12.96,2015
71,2436,2015-12-04,frankfurter,20.88,2015
72,3860,2015-05-05,whole milk,12.96,2015
73,4875,2015-12-05,frozen potato products,21.9,2015
74,1587,2015-01-07,other vegetables,32.199999999999996,2015
75,4038,2015-08-07,citrus fruit,6.4,2015
76,4750,2015-09-21,flour,3.04,2015
77,1199,2015-10-12,sugar,4.800000000000001,2015
78,1603,2015-09-30,frozen meals,12.0,2015
79,3111,2015-01-31,chocolate,25.45,2015
80,3894,2015-12-13,root vegetables,14.950000000000001,2015
81,1456,2015-09-18,root vegetables,20.93,2015
82,2022,2015-04-03,herbs,3.0,2015
83,2505,2015-11-30,bottled water,8.82,2015
84,4851,2015-12-20,sausage,26.82,2015
85,4293,2015-04-08,coffee,16.200000000000003,2015
86,2775,2015-06-11,pork,8.370000000000001,2015
87,3693,2015-02-18,berries,6.91,2015
88,1202,2015-07-22,soda,21.0,2015
89,3699,2015-08-23,berries,34.55,2015
90,4152,2015-04-15,fruit/vegetable juice,2.21,2015
91,4155,2015-01-26,citrus fruit,9.600000000000001,2015
92,4010,2015-12-29,pork,2.79,2015
93,4389,2015-10-20,detergent,0.66,2015
94,3746,2015-08-17,grapes,4.88,2015
95,2560,2015-05-17,sausage,31.29,2015
96,1503,2015-07-25,chicken,8.64,2015
97,2555,2015-12-23,whole milk,25.92,2015
98,3645,2015-12-12,citrus fruit,1.6,2015
99,3886,2015-11-09,soda,4.2,2015
