,accelerometer_X,accelerometer_Y,accelerometer_Z,BVP,EDA,heart_rate,IBI_0,IBI_1,temp,Subject,Label
0,32.0,32.0,32.0,64.0,4.0,1.0,35.484375,0.890625,4.0,S01,0
1,-2.0,43.0,43.0,0.0,0.0,83.0,36.34375,0.859375,28.39,S01,0
2,-2.0,44.0,46.0,0.0,0.11275,83.0,37.296875,0.953125,28.39,S01,1
3,2.0,44.0,47.0,0.0,0.166563,72.67,38.1875,0.890625,28.39,S01,1
4,3.0,43.0,44.0,0.0,0.167844,87.0,39.046875,0.859375,28.39,S01,0
5,1.0,43.0,45.0,0.0,0.167844,80.0,39.859375,0.8125,28.39,S01,0
6,-3.0,45.0,46.0,0.0,0.166563,80.83,40.65625,0.796875,28.39,S01,1
7,-2.0,44.0,45.0,0.0,0.165282,81.71,41.390625,0.734375,28.39,S01,0
8,-2.0,43.0,45.0,0.0,0.165282,82.38,42.125,0.734375,28.39,S01,0
9,-6.0,42.0,46.0,0.0,0.165282,82.67,42.90625,0.78125,28.39,S01,1
10,-4.0,42.0,47.0,0.0,0.166563,83.1,43.75,0.84375,28.39,S01,1
11,-1.0,42.0,47.0,0.0,0.165282,83.27,44.609375,0.859375,28.39,S01,1
12,-3.0,42.0,46.0,0.01,0.165282,83.25,45.5625,0.953125,28.39,S01,1
13,-4.0,40.0,47.0,0.01,0.165282,83.15,46.5625,1.0,28.39,S01,1
14,-5.0,37.0,47.0,0.0,0.166563,83.07,47.5,0.9375,28.39,S01,1
15,-3.0,41.0,49.0,-0.03,0.166563,82.93,48.453125,0.953125,28.39,S01,1
16,-2.0,41.0,52.0,-0.05,0.166563,83.38,49.453125,1.0,28.39,S01,1
17,-3.0,45.0,54.0,-0.05,0.166563,83.71,50.453125,1.0,28.37,S01,1
18,-4.0,45.0,53.0,0.0,0.164001,84.0,51.453125,1.0,28.37,S01,1
19,-6.0,43.0,53.0,0.13,0.165282,84.32,52.390625,0.9375,28.37,S01,1
20,-8.0,42.0,51.0,0.36,0.166563,84.5,53.328125,0.9375,28.37,S01,1
21,-8.0,40.0,49.0,0.66,0.167844,84.67,54.28125,0.953125,28.39,S01,1
22,-7.0,38.0,48.0,1.01,0.167844,84.73,55.203125,0.921875,28.39,S01,1
23,-6.0,37.0,47.0,1.37,0.167844,84.7,56.140625,0.9375,28.39,S01,1
24,-6.0,39.0,47.0,1.72,0.165282,84.67,57.03125,0.890625,28.39,S01,1
25,-6.0,40.0,51.0,2.06,0.165282,84.56,57.890625,0.859375,28.39,S01,1
26,-7.0,39.0,52.0,2.4,0.165282,84.42,58.75,0.859375,28.39,S01,1
27,-7.0,39.0,51.0,2.79,0.170407,84.41,59.640625,0.890625,28.39,S01,1
28,-7.0,39.0,51.0,3.24,0.167844,84.32,60.515625,0.875,28.39,S01,1
29,-6.0,38.0,52.0,3.8,0.166563,84.17,61.359375,0.84375,28.37,S01,1
30,-7.0,38.0,49.0,4.42,0.167844,84.03,62.28125,0.921875,28.37,S01,1
31,-7.0,38.0,48.0,5.06,0.167844,83.81,63.171875,0.890625,28.37,S01,1
32,-5.0,38.0,49.0,5.66,0.169126,83.62,64.09375,0.921875,28.37,S01,1
33,-7.0,39.0,50.0,6.2,0.170407,83.45,64.9375,0.84375,28.35,S01,1
34,-6.0,40.0,51.0,6.68,0.171688,83.32,65.8125,0.875,28.35,S01,1
35,-7.0,40.0,50.0,7.15,0.171688,83.23,66.703125,0.890625,28.35,S01,1
36,-7.0,39.0,51.0,7.68,0.171688,83.14,67.625,0.921875,28.35,S01,1
37,-6.0,38.0,51.0,8.31,0.171688,83.16,68.546875,0.921875,28.39,S01,1
38,-7.0,39.0,48.0,9.14,0.170407,82.92,69.4375,0.890625,28.39,S01,1
39,-6.0,39.0,50.0,10.09,0.167844,82.69,70.25,0.8125,28.39,S01,1
40,-5.0,40.0,50.0,11.04,0.167844,82.53,71.109375,0.859375,28.39,S01,1
41,-7.0,40.0,49.0,11.88,0.169126,82.34,71.953125,0.84375,28.39,S01,1
42,-7.0,40.0,50.0,12.56,0.167844,82.12,72.6875,0.734375,28.39,S01,1
43,-7.0,39.0,51.0,13.14,0.169126,81.86,73.703125,1.015625,28.39,S01,1
44,-7.0,39.0,51.0,13.76,0.174251,81.39,74.625,0.921875,28.39,S01,1
45,-7.0,40.0,49.0,14.65,0.172969,80.93,75.546875,0.921875,28.43,S01,1
46,-7.0,40.0,49.0,15.96,0.174251,80.5,76.46875,0.921875,28.43,S01,1
47,-7.0,40.0,48.0,17.91,0.175532,80.09,77.40625,0.9375,28.43,S01,1
48,-5.0,39.0,49.0,20.32,0.174251,79.71,78.28125,0.875,28.43,S01,1
49,-6.0,39.0,48.0,22.9,0.172969,79.37,79.1875,0.90625,28.43,S01,1
50,-6.0,39.0,49.0,25.38,0.178094,79.04,80.046875,0.859375,28.43,S01,1
51,-6.0,38.0,49.0,27.58,0.183219,78.75,80.9375,0.890625,28.43,S01,1
52,-6.0,39.0,49.0,29.57,0.183219,78.48,81.828125,0.890625,28.43,S01,1
53,-6.0,39.0,50.0,31.68,0.176813,78.25,82.78125,0.953125,28.47,S01,1
54,-6.0,39.0,50.0,34.32,0.169126,78.04,83.640625,0.859375,28.47,S01,1
55,-6.0,39.0,50.0,37.81,0.169126,77.84,84.515625,0.875,28.47,S01,1
56,-6.0,40.0,50.0,42.54,0.169126,77.66,85.40625,0.890625,28.47,S01,1
57,-6.0,40.0,50.0,48.15,0.169126,77.49,86.390625,0.984375,28.49,S01,1
58,-6.0,39.0,50.0,54.1,0.167844,77.31,87.34375,0.953125,28.49,S01,1
59,-5.0,39.0,50.0,59.83,0.170407,77.14,88.28125,0.9375,28.49,S01,1
60,-6.0,40.0,50.0,64.97,0.169126,76.97,89.203125,0.921875,28.49,S01,1
61,-6.0,40.0,49.0,69.58,0.169126,76.68,90.140625,0.9375,28.49,S01,1
62,-6.0,40.0,50.0,74.14,0.167844,76.4,91.046875,0.90625,28.49,S01,1
63,-6.0,40.0,50.0,79.34,0.169126,76.65,91.984375,0.9375,28.49,S01,1
64,-6.0,39.0,49.0,85.71,0.170407,75.62,92.84375,0.859375,28.49,S01,1
65,-6.0,39.0,50.0,93.76,0.170407,75.88,93.6875,0.84375,28.49,S01,1
66,-6.0,39.0,49.0,103.0,0.170407,75.6,94.578125,0.890625,28.49,S01,1
67,-6.0,40.0,49.0,112.62,0.171688,75.28,95.484375,0.90625,28.49,S01,1
68,-6.0,40.0,48.0,121.73,0.172969,74.97,96.375,0.890625,28.49,S01,1
69,-6.0,40.0,49.0,129.77,0.170407,74.68,97.25,0.875,28.47,S01,1
70,-5.0,40.0,50.0,136.75,0.171688,74.35,98.171875,0.921875,28.47,S01,1
71,-5.0,40.0,50.0,143.3,0.171688,74.03,99.125,0.953125,28.47,S01,1
72,-6.0,39.0,50.0,150.75,0.171688,73.75,100.03125,0.90625,28.47,S01,1
73,-6.0,39.0,49.0,157.77,0.172969,73.48,100.9375,0.90625,28.49,S01,1
74,-6.0,40.0,48.0,166.64,0.174251,73.22,101.84375,0.90625,28.49,S01,1
75,-6.0,40.0,49.0,177.95,0.172969,72.97,102.765625,0.921875,28.49,S01,1
76,-6.0,40.0,49.0,191.79,0.172969,72.58,103.640625,0.875,28.49,S01,1
77,-5.0,40.0,49.0,206.97,0.172969,72.22,104.546875,0.90625,28.49,S01,1
78,-6.0,40.0,49.0,220.57,0.172969,71.83,105.5,0.953125,28.49,S01,1
79,-6.0,40.0,50.0,228.25,0.174251,71.43,106.40625,0.90625,28.49,S01,0
80,-6.0,40.0,50.0,225.36,0.175532,71.05,107.328125,0.921875,28.49,S01,0
81,-5.0,40.0,49.0,208.53,0.174251,70.67,108.234375,0.90625,28.49,S01,0
82,-5.0,40.0,49.0,176.87,0.174251,70.32,109.1875,0.953125,28.49,S01,0
83,-6.0,39.0,49.0,132.76,0.175532,69.98,110.03125,0.84375,28.49,S01,0
84,-6.0,39.0,48.0,80.05,0.172969,69.63,110.921875,0.890625,28.49,S01,0
85,-6.0,39.0,49.0,23.07,0.176813,69.33,111.84375,0.921875,28.49,S01,0
86,-5.0,39.0,50.0,-34.94,0.174251,69.07,112.75,0.90625,28.49,S01,0
87,-5.0,40.0,50.0,-92.44,0.175532,68.75,113.671875,0.921875,28.49,S01,0
88,-5.0,39.0,50.0,-149.16,0.175532,68.48,123.640625,0.828125,28.49,S01,0
89,-5.0,39.0,49.0,-205.23,0.175532,68.25,124.578125,0.9375,28.51,S01,0
90,-5.0,40.0,49.0,-260.37,0.174251,68.03,125.484375,0.90625,28.51,S01,0
91,-6.0,40.0,49.0,-313.74,0.178094,67.87,126.375,0.890625,28.51,S01,0
92,-6.0,40.0,49.0,-363.87,0.176813,67.67,127.28125,0.90625,28.51,S01,0
93,-6.0,39.0,50.0,-409.83,0.176813,67.47,128.125,0.84375,28.51,S01,0
94,-6.0,39.0,50.0,-450.91,0.176813,67.23,129.015625,0.890625,28.51,S01,0
95,-6.0,39.0,51.0,-486.5,0.178094,67.0,129.90625,0.890625,28.51,S01,0
96,-6.0,38.0,51.0,-515.74,0.178094,66.77,130.796875,0.890625,28.51,S01,0
97,-6.0,38.0,51.0,-537.23,0.178094,66.45,131.671875,0.875,28.51,S01,0
98,-5.0,38.0,50.0,-549.22,0.179376,66.3,132.59375,0.921875,28.51,S01,0
99,-5.0,40.0,49.0,-549.96,0.178094,66.15,133.53125,0.9375,28.51,S01,0
100,-5.0,40.0,50.0,-538.37,0.176813,65.97,134.4375,0.90625,28.51,S01,0
101,-6.0,39.0,51.0,-514.21,0.180657,65.8,135.296875,0.859375,28.51,S01,0
102,-7.0,39.0,51.0,-478.68,0.179376,65.67,136.203125,0.90625,28.51,S01,0
103,-7.0,38.0,52.0,-433.88,0.176813,65.57,137.109375,0.90625,28.51,S01,0
104,-5.0,38.0,51.0,-382.45,0.176813,65.63,137.96875,0.859375,28.51,S01,0
105,-5.0,37.0,50.0,-327.02,0.171688,65.7,138.828125,0.859375,28.49,S01,0
106,-5.0,36.0,48.0,-269.83,0.165282,65.78,139.734375,0.90625,28.49,S01,0
107,-4.0,34.0,47.0,-212.61,0.167844,65.87,140.65625,0.921875,28.49,S01,0
108,-4.0,34.0,46.0,-156.62,0.170407,65.93,141.5625,0.90625,28.49,S01,0
109,-3.0,31.0,45.0,-102.9,0.172969,65.98,142.453125,0.890625,28.47,S01,0
110,-5.0,31.0,45.0,-52.29,0.172969,66.02,143.375,0.921875,28.47,S01,0
111,-10.0,28.0,47.0,-5.79,0.175532,66.03,144.265625,0.890625,28.47,S01,0
112,-4.0,26.0,51.0,35.73,0.178094,66.02,145.15625,0.890625,28.47,S01,0
113,-7.0,27.0,52.0,71.61,0.179376,65.98,146.015625,0.859375,28.49,S01,0
114,-12.0,27.0,57.0,101.59,0.178094,65.93,146.828125,0.8125,28.49,S01,0
115,-7.0,27.0,61.0,125.79,0.176813,65.88,147.59375,0.765625,28.49,S01,0
116,-10.0,26.0,61.0,144.72,0.178094,65.83,148.453125,0.859375,28.49,S01,0
117,-12.0,24.0,63.0,159.09,0.179376,65.8,149.3125,0.859375,28.47,S01,0
118,-11.0,24.0,65.0,169.61,0.178094,65.8,150.171875,0.859375,28.47,S01,0
119,-7.0,23.0,64.0,176.89,0.179376,65.8,151.0625,0.890625,28.47,S01,0
120,-10.0,19.0,63.0,181.33,0.180657,65.8,151.953125,0.890625,28.47,S01,0
121,-11.0,17.0,62.0,183.22,0.180657,65.82,152.859375,0.90625,28.49,S01,0
122,-11.0,19.0,61.0,182.78,0.180657,65.83,153.734375,0.875,28.49,S01,0
123,-9.0,18.0,62.0,180.29,0.180657,65.83,154.640625,0.90625,28.49,S01,0
124,-10.0,16.0,64.0,176.09,0.183219,65.82,155.578125,0.9375,28.49,S01,0
125,-10.0,16.0,62.0,170.59,0.183219,65.8,156.515625,0.9375,28.47,S01,0
126,-13.0,16.0,60.0,164.2,0.181938,65.78,157.421875,0.90625,28.47,S01,0
127,-11.0,14.0,62.0,157.26,0.180657,65.77,158.265625,0.84375,28.47,S01,0
128,-9.0,14.0,62.0,150.02,0.180657,65.75,159.140625,0.875,28.47,S01,0
129,-11.0,15.0,61.0,142.62,0.180657,65.73,160.03125,0.890625,28.47,S01,0
130,-8.0,13.0,60.0,135.13,0.181938,65.73,160.953125,0.921875,28.47,S01,0
131,-10.0,12.0,59.0,127.6,0.181938,65.75,161.859375,0.90625,28.47,S01,0
132,-10.0,12.0,58.0,120.06,0.181938,65.77,162.796875,0.9375,28.47,S01,0
133,-8.0,13.0,58.0,112.59,0.181938,65.78,168.328125,0.9375,28.47,S01,0
134,-9.0,12.0,56.0,105.25,0.183219,65.8,169.21875,0.890625,28.47,S01,0
135,-11.0,8.0,57.0,98.11,0.183219,65.82,170.140625,0.921875,28.47,S01,0
136,-14.0,9.0,59.0,91.23,0.181938,65.8,171.015625,0.875,28.47,S01,0
137,-12.0,9.0,59.0,84.63,0.181938,65.78,171.890625,0.875,28.47,S01,0
